end_station_id,month,end_station_name,end_lat,end_lng,ride_count
3169.07,6,53 St & 4 Ave,40.644862,-74.014531,800
3169.07,7,53 St & 4 Ave,40.644862,-74.014531,800
3169.07,8,53 St & 4 Ave,40.644862,-74.014531,400
3169.07,9,53 St & 4 Ave,40.644862,-74.014531,800
3169.07,10,53 St & 4 Ave,40.644862,-74.014531,900
3169.07,12,53 St & 4 Ave,40.644862,-74.014531,100
3172.01,7,Tilden Ave & Nostrand Ave,40.64683,-73.94933,300
3172.01,8,Tilden Ave & Nostrand Ave,40.64683,-73.94933,400
3172.01,9,Tilden Ave & Nostrand Ave,40.64683,-73.94933,300
3172.01,10,Tilden Ave & Nostrand Ave,40.64683,-73.94933,100
3172.01,11,Tilden Ave & Nostrand Ave,40.64683,-73.94933,100
3178.02,1,57 St & 1 Ave,40.646377,-74.023087,100
3178.02,2,57 St & 1 Ave,40.646377,-74.023087,100
3178.02,3,57 St & 1 Ave,40.646377,-74.023087,100
3178.02,4,57 St & 1 Ave,40.646377,-74.023087,100
3178.02,5,57 St & 1 Ave,40.646377,-74.023087,300
3178.02,6,57 St & 1 Ave,40.646377,-74.023087,200
3178.02,7,57 St & 1 Ave,40.646377,-74.023087,400
3178.02,8,57 St & 1 Ave,40.646377,-74.023087,400
3178.02,9,57 St & 1 Ave,40.646377,-74.023087,100
3178.02,10,57 St & 1 Ave,40.646377,-74.023087,100
3178.02,11,57 St & 1 Ave,40.646377,-74.023087,100
3180.02,7,Beverley Rd & Flatbush Ave,40.64499,-73.95818,300
3180.02,8,Beverley Rd & Flatbush Ave,40.64499,-73.95818,600
3180.02,9,Beverley Rd & Flatbush Ave,40.64499,-73.95818,700
3180.02,10,Beverley Rd & Flatbush Ave,40.64499,-73.95818,500
3180.02,11,Beverley Rd & Flatbush Ave,40.64499,-73.95818,500
3180.02,12,Beverley Rd & Flatbush Ave,40.64499,-73.95818,200
3180.09,7,Albemarle Rd & E 21 St,40.64741,-73.95933,700
